1,C_1,CD8+ MAIT-like T cell,21
2,C_2,Dividing T cell,21
3,C_3,CD8+ MAIT-like T cell,21
4,C_4,CD8+ cytotoxic lymphocyte T cell,21
5,C_5,Regulatory CD4 T cell,21
6,C_6,CD8+ cytotoxic lymphocyte T cell,21
7,C_7,CD8+ cytotoxic lymphocyte T cell,21
8,C_8,CD8+ MAIT-like T cell,21
9,C_9,CD8+ MAIT-like T cell,21
10,C_10,CD8+ MAIT-like T cell,21
11,C_11,CD8+ MAIT-like T cell,21
12,C_12,CD8+ MAIT-like T cell,21
13,C_13,Dendritic cell,5
14,C_14,Macrophage,12
15,C_15,CD8+ MAIT-like T cell,21
16,C_16,CD8+ MAIT-like T cell,21
17,C_17,CD8+ MAIT-like T cell,21
18,C_18,CD8+ cytotoxic lymphocyte T cell,21
19,C_19,CD8+ MAIT-like T cell,21
20,C_20,CD8+ MAIT-like T cell,21
21,C_21,Dendritic cell,5
22,C_22,CD8+ MAIT-like T cell,21
23,C_23,CD8+ MAIT-like T cell,21
24,C_24,CD8+ MAIT-like T cell,21
25,C_25,CD8+ MAIT-like T cell,21
26,C_26,CD8+ cytotoxic lymphocyte T cell,21
27,C_27,CD8+ cytotoxic lymphocyte T cell,21
28,C_28,Regulatory CD4 T cell,21
29,C_29,CD8+ MAIT-like T cell,21
30,C_30,CD8+ MAIT-like T cell,21
31,C_31,CD8+ MAIT-like T cell,21
32,C_32,CD8+ MAIT-like T cell,21
33,C_33,GD CD8+ T cell,21
34,C_34,CD8+ MAIT-like T cell,21
35,C_35,CD8+ MAIT-like T cell,21
36,C_36,CD8+ MAIT-like T cell,21
37,C_37,CD8+ cytotoxic lymphocyte T cell,21
38,C_38,CD8+ cytotoxic lymphocyte T cell,21
39,C_39,CD8+ MAIT-like T cell,21
40,C_40,CD8+ cytotoxic lymphocyte T cell,21
41,C_41,Regulatory CD4 T cell,21
42,C_42,CD8+ MAIT-like T cell,21
43,C_43,CD8+ MAIT-like T cell,21
44,C_44,CD8+ MAIT-like T cell,21
45,C_45,CD8+ MAIT-like T cell,21
46,C_46,CD8+ MAIT-like T cell,21
47,C_47,CD8+ MAIT-like T cell,21
48,C_48,Regulatory CD4 T cell,21
49,C_49,CD8+ MAIT-like T cell,21
50,C_50,CD8+ MAIT-like T cell,21
51,C_51,CD8+ MAIT-like T cell,21
52,C_52,CD8+ cytotoxic lymphocyte T cell,21
53,C_53,CD8+ MAIT-like T cell,21
54,C_54,CD8+ MAIT-like T cell,21
55,C_55,CD8+ MAIT-like T cell,21
56,C_56,GD CD8+ T cell,21
57,C_57,Regulatory CD4 T cell,21
58,C_58,CD8+ MAIT-like T cell,21
59,C_59,GD CD8+ T cell,21
60,C_60,CD8+ cytotoxic lymphocyte T cell,21
61,C_61,Dividing T cell,21
62,C_62,CD8+ cytotoxic lymphocyte T cell,21
63,C_63,CD8+ MAIT-like T cell,21
64,C_64,Dendritic cell,5
65,C_65,CD8+ MAIT-like T cell,21
66,C_66,CD8+ MAIT-like T cell,21
67,C_67,CD8+ MAIT-like T cell,21
68,C_68,Dividing T cell,21
69,C_69,Dendritic cell,5
70,C_70,CD8+ MAIT-like T cell,21
71,C_71,Regulatory CD4 T cell,21
72,C_72,Regulatory CD4 T cell,21
73,C_73,CD8+ MAIT-like T cell,21
74,C_74,Dendritic cell,5
75,C_75,GD CD8+ T cell,21
76,C_76,CD8+ MAIT-like T cell,21
77,C_77,CD8+ MAIT-like T cell,21
78,C_78,CD8+ cytotoxic lymphocyte T cell,21
79,C_79,CD8+ MAIT-like T cell,21
80,C_80,Regulatory CD4 T cell,21
81,C_81,CD8+ MAIT-like T cell,21
82,C_82,CD8+ MAIT-like T cell,21
83,C_83,CD8+ cytotoxic lymphocyte T cell,21
84,C_84,CD8+ MAIT-like T cell,21
85,C_85,CD8+ MAIT-like T cell,21
86,C_86,CD8+ cytotoxic lymphocyte T cell,21
87,C_87,CD8+ cytotoxic lymphocyte T cell,21
88,C_88,CD8+ MAIT-like T cell,21
89,C_89,CD8+ MAIT-like T cell,21
90,C_90,CD8+ MAIT-like T cell,21
91,C_91,Regulatory CD4 T cell,21
92,C_92,Hypermutated B cell,3
